date,bev_units,total_cars,bev_share,bev_units_log,source_flag,low_flag
2011-01-31,336,424100,0.0007922659750058948,5.817111159963204,Sum_devolved,1
2011-02-28,318,360400,0.0008823529411764706,5.762051382780177,Sum_devolved,1
2011-03-31,336,662000,0.0005075528700906344,5.817111159963204,Sum_devolved,1
2011-04-30,527,434400,0.0012131675874769798,6.267200548541362,Sum_devolved,1
2011-05-31,145,447300,0.0003241672255756763,4.976733742420574,Sum_devolved,1
2011-06-30,309,479000,0.0006450939457202505,5.733341276897746,Sum_devolved,1
2011-07-31,518,429200,0.001206896551724138,6.249975242259483,Sum_devolved,1
2011-08-31,127,357300,0.0003554436048138819,4.844187086458591,Sum_devolved,1
2011-09-30,145,629800,0.00023023181962527787,4.976733742420574,Sum_devolved,1
2011-10-31,218,431800,0.0005048633626679018,5.384495062789089,Sum_devolved,1
2011-11-30,54,433100,0.00012468252135765413,3.9889840465642745,Sum_devolved,1
2011-12-31,36,418900,8.59393650035808e-05,3.58351893845611,Sum_devolved,1
2012-01-31,36,424100,8.488564017920302e-05,3.58351893845611,Sum_devolved,1
2012-02-29,18,359000,5.0139275766016714e-05,2.8903717578961645,Sum_devolved,1
2012-03-31,518,667900,0.000775565204371912,6.249975242259483,Sum_devolved,1
2012-04-30,427,439300,0.0009720009105394946,6.056784013228625,Sum_devolved,1
2012-05-31,327,459000,0.0007124183006535947,5.7899601708972535,Sum_devolved,1
2012-06-30,427,485600,0.0008793245469522241,6.056784013228625,Sum_devolved,1
2012-07-31,236,441700,0.0005342992981661761,5.4638318050256105,Sum_devolved,1
2012-08-31,236,357500,0.0006601398601398602,5.4638318050256105,Sum_devolved,1
2012-09-30,236,655800,0.00035986581274778895,5.4638318050256105,Sum_devolved,1
2012-10-31,436,449700,0.0009695352457193685,6.077642243349034,Sum_devolved,1
2012-11-30,427,448100,0.0009529122963624191,6.056784013228625,Sum_devolved,1
2012-12-31,409,423100,0.0009666745450248168,6.013715156042802,Sum_devolved,1
2013-01-31,54,439300,0.00012292283177782836,3.9889840465642745,Sum_devolved,1
2013-02-28,236,363900,0.0006485298158834845,5.4638318050256105,Sum_devolved,1
2013-03-31,436,691000,0.0006309696092619392,6.077642243349034,Sum_devolved,1
2013-04-30,236,459100,0.0005140492267479852,5.4638318050256105,Sum_devolved,1
2013-05-31,1018,476600,0.002135963071758288,6.925595197110468,Sum_devolved,1
2013-06-30,427,510500,0.0008364348677766895,6.056784013228625,Sum_devolved,1
2013-07-31,718,459100,0.0015639294271400565,6.576469569048224,Sum_devolved,1
2013-08-31,236,363100,0.0006499586890663729,5.4638318050256105,Sum_devolved,1
2013-09-30,718,698000,0.0010286532951289398,6.576469569048224,Sum_devolved,1
2013-10-31,518,454900,0.001138711804792262,6.249975242259483,Sum_devolved,1
2013-11-30,718,457800,0.0015683704674530363,6.576469569048224,Sum_devolved,1
2013-12-31,518,451700,0.0011467788355102944,6.249975242259483,Sum_devolved,1
2014-01-31,818,449200,0.0018210151380231522,6.706862336602747,Sum_devolved,1
2014-02-28,418,365600,0.0011433260393873086,6.035481432524756,Sum_devolved,1
2014-03-31,1309,759600,0.0017232754081095314,7.1770187659099,Sum_devolved,1
2014-04-30,1009,473200,0.00213229078613694,6.9167150203536085,Sum_devolved,1
2014-05-31,818,490000,0.0016693877551020408,6.706862336602747,Sum_devolved,1
2014-06-30,1218,523300,0.002327536785782534,7.1049654482698426,Sum_devolved,1
2014-07-31,800,277000,0.002888086642599278,6.684611727667927,UK_total,0
2014-08-31,500,173800,0.0028768699654775605,6.214608098422191,UK_total,0
2014-09-30,1500,528600,0.0028376844494892167,7.313220387090301,UK_total,0
2014-10-31,800,281600,0.002840909090909091,6.684611727667927,UK_total,0
2014-11-30,1000,275400,0.0036310820624546117,6.907755278982137,UK_total,0
2014-12-31,1700,267800,0.006348020911127707,7.438383530044307,UK_total,0
2015-01-31,800,266700,0.0029996250468691415,6.684611727667927,UK_total,0
2015-02-28,600,178800,0.003355704697986577,6.396929655216146,UK_total,0
2015-03-31,2300,595000,0.003865546218487395,7.7406644019172415,UK_total,0
2015-04-30,800,287600,0.0027816411682892906,6.684611727667927,UK_total,0
2015-05-31,900,300200,0.0029980013324450365,6.802394763324311,UK_total,0
2015-06-30,1300,359900,0.003612114476243401,7.170119543449628,UK_total,0
2015-07-31,600,281000,0.002135231316725979,6.396929655216146,UK_total,0
2015-08-31,700,181300,0.003861003861003861,6.551080335043404,UK_total,0
2015-09-30,1900,565400,0.0033604527767951893,7.549609165154532,UK_total,0
2015-10-31,1100,280300,0.00392436674991081,7.003065458786462,UK_total,0
2015-11-30,1200,281800,0.0042583392476933995,7.090076835776092,UK_total,0
2015-12-31,2300,283000,0.00812720848056537,7.7406644019172415,UK_total,0
2016-01-31,900,272100,0.0033076074972436605,6.802394763324311,UK_total,0
2016-02-29,500,186400,0.002682403433476395,6.214608098422191,UK_total,0
2016-03-31,2900,622100,0.004661629963028452,7.9724660159745655,UK_total,0
2016-04-30,900,291100,0.003091721058055651,6.802394763324311,UK_total,0
2016-05-31,800,306200,0.002612671456564337,6.684611727667927,UK_total,0
2016-06-30,1400,358400,0.00390625,7.24422751560335,UK_total,0
2016-07-31,700,281500,0.002486678507992895,6.551080335043404,UK_total,0
2016-08-31,600,184700,0.0032485110990795887,6.396929655216146,UK_total,0
2016-09-30,2700,572500,0.004716157205240175,7.90100705199242,UK_total,0
2016-10-31,600,282000,0.002127659574468085,6.396929655216146,UK_total,0
2016-11-30,900,286600,0.00314026517794836,6.802394763324311,UK_total,0
2016-12-31,1800,280200,0.006423982869379015,7.495541943884256,UK_total,0
2017-01-31,1600,276500,0.005786618444846293,7.3777589082278725,UK_total,0
2017-02-28,1100,184500,0.005962059620596206,7.003065458786462,UK_total,0
2017-03-31,3800,665600,0.005709134615384615,8.242756345714477,UK_total,0
2017-04-30,1200,252500,0.004752475247524752,7.090076835776092,UK_total,0
2017-05-31,1500,288100,0.0052065255119750084,7.313220387090301,UK_total,0
2017-06-30,2100,345800,0.006072874493927126,7.649692623711514,UK_total,0
2017-07-31,1400,263600,0.005311077389984826,7.24422751560335,UK_total,0
2017-08-31,1100,178800,0.006152125279642058,7.003065458786462,UK_total,0
2017-09-30,2700,528600,0.00510783200908059,7.90100705199242,UK_total,0
2017-10-31,1100,260700,0.004219409282700422,7.003065458786462,UK_total,0
2017-11-30,1400,266300,0.005257228689447991,7.24422751560335,UK_total,0
2017-12-31,1700,253300,0.006711409395973154,7.438383530044307,UK_total,0
2018-01-31,1100,265700,0.0041400075272864136,7.003065458786462,UK_total,0
2018-02-28,900,182900,0.004920721705850191,6.802394763324311,UK_total,0
2018-03-31,3700,576200,0.0064213814647691774,8.216088098632316,UK_total,0
2018-04-30,1600,269000,0.005947955390334572,7.3777589082278725,UK_total,0
2018-05-31,1700,294200,0.005778382053025153,7.438383530044307,UK_total,0
2018-06-30,2000,337200,0.005931198102016607,7.600902459542082,UK_total,0
2018-07-31,1400,266200,0.005259203606311044,7.24422751560335,UK_total,0
2018-08-31,1400,196300,0.007131940906775344,7.24422751560335,UK_total,0
2018-09-30,3000,441900,0.006788866259334691,8.006367567650246,UK_total,0
2018-10-31,2100,256700,0.008180755746007013,7.649692623711514,UK_total,0
2018-11-30,2300,261800,0.00878533231474408,7.7406644019172415,UK_total,0
2018-12-31,2600,245900,0.01057340382269215,7.8632667240095735,UK_total,0
2019-01-31,2200,263700,0.008342813803564657,7.696212639346407,UK_total,0
2019-02-28,1600,184500,0.008672086720867209,7.3777589082278725,UK_total,0
2019-03-31,4900,562400,0.008712660028449502,8.496990484098719,UK_total,0
2019-04-30,2500,263800,0.009476876421531463,7.824046010856292,UK_total,0
2019-05-31,3100,285900,0.010842952081147255,8.039157390473237,UK_total,0
2019-06-30,4000,326400,0.012254901960784314,8.294049640102028,UK_total,0
2019-07-31,3200,259500,0.01233140655105973,8.070906088787819,UK_total,0
2019-08-31,6500,195400,0.03326509723643808,8.779557455883728,UK_total,0
2019-09-30,9900,446600,0.022167487684729065,9.20029003612268,UK_total,0
2019-10-31,5400,246600,0.021897810218978103,8.594154232552366,UK_total,0
2019-11-30,7600,260500,0.029174664107485603,8.935903526274423,UK_total,0
2019-12-31,8200,251300,0.03263032232391564,9.011889433252344,UK_total,0
2020-01-31,6800,252100,0.02697342324474415,8.824677891164198,UK_total,0
2020-02-29,5500,182100,0.030203185063152116,8.612503371220562,UK_total,0
2020-03-31,16300,357400,0.04560716284275322,9.698920386794853,UK_total,0
2020-04-30,33500,104200,0.32149712092130517,10.419300717813158,UK_total,0
2020-05-31,14400,120600,0.11940298507462686,9.574983485564092,UK_total,0
2020-06-30,15000,246700,0.060802594244021076,9.615805480084347,UK_total,0
2020-07-31,12800,277300,0.04615939415795168,9.457200449907708,UK_total,0
2020-08-31,11600,190300,0.06095638465580662,9.358760377094455,UK_total,0
2020-09-30,28600,431800,0.06623436776285317,10.261161996807944,UK_total,0
2020-10-31,15700,242600,0.06471558120362737,9.6614159913364,UK_total,0
2020-11-30,18800,216500,0.08683602771362586,9.84161214881804,UK_total,0
2020-12-31,38100,234800,0.16226575809199317,10.547969561114792,UK_total,0
2021-01-31,12900,192400,0.06704781704781705,9.464982590349763,UK_total,0
2021-02-28,10000,154400,0.06476683937823834,9.210340371976184,UK_total,0
2021-03-31,29700,387100,0.07672436063032809,10.298902324790792,UK_total,0
2021-04-30,15600,243300,0.06411837237977805,9.655026193237628,UK_total,0
2021-05-31,21300,257800,0.082622187742436,9.966462351697517,UK_total,0
2021-06-30,30400,288000,0.10555555555555556,10.322197887394314,UK_total,0
2021-07-31,19800,225600,0.08776595744680851,9.893437216682626,UK_total,0
2021-08-31,17900,170100,0.10523221634332745,9.792555991828847,UK_total,0
2021-09-30,47700,318300,0.14985862393967955,10.772686676876432,UK_total,0
2021-10-31,30800,209400,0.14708691499522444,10.335269968961667,UK_total,0
2021-11-30,39900,219500,0.18177676537585422,10.594131602877955,UK_total,0
2021-12-31,52500,211400,0.24834437086092714,10.868568448579715,UK_total,0
2022-01-31,26600,218200,0.12190650779101742,10.188666494769791,UK_total,0
2022-02-28,27300,161700,0.16883116883116883,10.21464198117305,UK_total,0
2022-03-31,55200,347200,0.15898617511520738,10.918718232265187,UK_total,0
2022-04-30,23500,221700,0.10599909788001805,10.06475570013225,UK_total,0
2022-05-31,27600,227100,0.1215323645970938,10.225571051705241,UK_total,0
2022-06-30,38300,244200,0.15683865683865683,10.553205175168737,UK_total,0
2022-07-31,23000,215600,0.10667903525046382,10.043249494911286,UK_total,0
2022-08-31,23600,172300,0.13697040046430645,10.069001991013701,UK_total,0
2022-09-30,54700,329500,0.1660091047040971,10.909618988410072,UK_total,0
2022-10-31,34200,237600,0.14393939393939395,10.439980923050696,UK_total,0
2022-11-30,49500,246400,0.20089285714285715,10.809727948556782,UK_total,0
2022-12-31,74600,230800,0.32322357019064124,11.219895786191852,UK_total,0
2023-01-31,30000,234100,0.12815036309269542,10.308952660644293,UK_total,0
2023-02-28,28200,177200,0.15914221218961624,10.247077256926206,UK_total,0
2023-03-31,62600,391700,0.15981618585652285,11.04452055708819,UK_total,0
2023-04-30,35600,235400,0.15123194562446898,10.480100916840122,UK_total,0
2023-05-31,41100,248200,0.16559226430298146,10.623763400484325,UK_total,0
2023-06-30,49200,280800,0.1752136752136752,10.803648902480399,UK_total,0
2023-07-31,38600,247700,0.15583366976180865,10.561007555452923,UK_total,0
2023-08-31,36400,189700,0.1918819188191882,10.502324053624832,UK_total,0
2023-09-30,61600,377500,0.16317880794701986,11.02841714952161,UK_total,0
2023-10-31,39200,257900,0.15199689802248934,10.576432025778553,UK_total,0
2023-11-30,39400,261300,0.15078453884424034,10.581521095286025,UK_total,0
2023-12-31,46700,244400,0.19108019639934534,10.75149944365699,UK_total,0
2024-01-31,35200,246900,0.14256784123126773,10.468801361586188,UK_total,0
2024-02-29,31800,189300,0.16798732171156894,10.367221568768269,UK_total,0
2024-03-31,63500,422600,0.15026029342167535,11.058795184880783,UK_total,0
2024-04-30,39200,237600,0.16498316498316498,10.576432025778553,UK_total,0
2024-05-31,43100,252100,0.17096390321301072,10.671278276091838,UK_total,0
2024-06-30,52800,282700,0.1867704280155642,10.874266469694353,UK_total,0
